Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
277784,B002OMV09W,A1PPODPHT4YV6W,"Clyde Fulton Mallard ""xlduck""",4,6,5,1273795200,pepper in a can,the seeds just sprouted about a week ago. it took them two weeks to sprout
537910,B003BGRUPI,A2CJMKLNC0G1SE,Kathy,0,0,5,1260230400,Stash Premium Organic Chai Tea,Love this tea.  First time I ordered Chai Black Tea and it's marvelous.<br />I'm hooked.
72227,B000LKVTH2,AANHKVVW7CZGC,S. G. Hardin,0,0,4,1259625600,Chewy,"These have the best taste of white cheddar popcorn I've ever had, they are just a little too chewy to be really good. If you don't mind the chewiness of them you will like them."
321685,B001GQ3E3M,A22QF62AISKTWG,K. Miller,0,0,5,1327190400,Excellent,Absolutely love this peanut butter! Can't get much better than peanut butter and chocolate together. I will definitely be buying it again!
49350,B000IHNCQO,A31HE5SMLZMJY4,KLP,14,15,3,1296777600,"Yummy, weird, salty, and high in fat... but I like them!","I would give these 3 and 1/2 stars if I could. Now that I have tried these I see why there are so many ""mixed"" reviews. To start: they are NOT ""healthy"". Yes, they are low in carbs, but for the total calories from fat (60 out of 75) - the percentage is WAY too high. That means the calories are 80% from fat. Yes, I realize they are made of cheese, which is mostly fat, but they are not something I want to be eating all day every day. (Kind of like the 100-calorie pack treats that are portion controlled, but not so ""healthy"" either.) Plus, they are high in sodium like most other people have pointed out. However, they are very low in carbs (1 gram) and high in protein (5 grams). I got the ""Classic White Cheddar Cheese"". Keep in mind that white cheddar is one of my all-time favorite cheeses. The texture is crunchy - similar to a rice cake (a little denser). The one thing that I strongly DON'T like, is the weird, greasy, oily feeling it leaves on my teeth. But maybe that is just me. But the flavor is fine. The packaging states the following:<br /><br />1 bag (0.5 oz.) - 14 grams:<br /><br />Calories: 75<br />Calories from fat: 60<br />Total fat - 6.5g (10% Daily Value [DV])<br />Cholesterol - 25mg (8% DV)<br />Sodium - 275mg (12% DV)<br />Total carbs - 1g (0% DV)<br />Protein - 5 g<br />Vitamin A - 5% DV<br />Calcium - 16% DV<br /><br />The size of the bag reminds me of those little pouches of fruit gummies that they make for kids lunches.<br /><br />So, all in all, a decent tasting, low carb, high fat snack. Not something I will eat every day, but a nice ""treat"" when I am in the mood for something salty and crunchy."
20806,B001GVIRD4,A3IYU9QKVOX8O4,Mary Galindo,0,0,5,1320019200,Eden Dried Cranberries,So happy to be able to find organic dried cranberries NOT sweetened with sugar.  The organic apple juice Eden uses instead of sugar gives the dried fruit a sweetness I did not expect.  I will certainly buy this product again and recommend it to others.
63599,B002IEZJMA,A2V5M5EJPOD2IU,David Bradshaw,0,1,4,1339200000,Kind of watered down,"I have tried the cappuccino version of this drink (which is great), and was excited to try this drink, following the instructions I did not shake.  I opened the drink and took a sip, the coffee is strong and has a full body, and has a good taste (for canned coffee), however (I am not sure if this is from transport, or what), the coffee is very watered down and I feel like I am tasting mostly a watered down coffee (like iced coffee where the ice has melted).  The watered down taste of the coffee sticks with you, so be prepared to need something to clean your palate afterwards.<br /><br />I do not know if the one I got went through some sort of shock or excess moisture phase during shipping to fridge, but I found it to taste watered down (not sure if it was just mine or all), the coffee is very strong and has a bold taste, but due to the watering down it takes a way from the flavor and makes it tough to drink."
164666,B002YW3JE6,A2UR9I3QSTN4G3,Teresa Pietersen,1,1,4,1301270400,Not my Favorite Harney & Sons,"It's a green tea with a hint of cocnut, lemon grass, ginger & vanilla. I was expecting more of the flavours to come through but it's quite pleasant hot or cold."
218126,B003YK72LS,A2JIOMS0VV8UEQ,"Carolyn Williams ""Mystery Lover""",2,2,4,1218153600,Great taste but it sure crumbles!,We love the taste but hardly any cookies are whole.  I would have given them 5 stars otherwise.
498238,B0030VBPN2,A2KYL72QVN0ASL,"R. Schroeder ""CAsunshine""",0,0,5,1304899200,LOVE LOVE LOVE!,"My son is now almost 3 years old and STILL loves these! I have been buying him the pouches for as long as he is been old enough and they are great! I only buy ones that have fruit AND vegetables in them. They are great for on the go, and also when he is sick and barley eating i give him one and know he is getting something healthy. We are BIG fruit and vegetable eater and they are a wonderful addition to my sons diet. We are expecting another child soon and I plan to keep these around for a LONG time! We love Happybaby!"
288297,B000ENUC3S,A4LSU7HVACTB5,John A. Porriello,15,15,4,1249430400,Overpriced at Amazon,"I like all of the Larabars that I have tried.  They taste good and are able to satisfy my appetite.  I do not understand why the bars can be purchased cheaper at Whole Paycheck (aka Whole Foods) for $1.35 and Walmart for $1.25 and they are more expensive per unit when purchased in a box of 16 at Amazon.  Depending on which Larabar you choose, the Amazon per unit price ranges from 1.35 for the Cherry to 1.83 for the chocolate per unit.  Amazon needs to adjust its price in order to be competitive in the market."
539335,B001BDDT8K,AAG0O8X2PYE6G,"J. Aragon ""Feminist Educator""",0,1,5,1227657600,The Cats' meow,"We have two cats and they are picky with their ""crunchy"" food and seem to like most ""soft"" cat food. They both liked this soft food and didn't have any issues with it. Sometimes they've not liked some of the soft food and cat vomit is not fun to clean up.<br /><br />The cats heard me opening up the food and would bolt into the kitchen and lick their bowls clean. That is a five claw rating."
288506,B000ENUC3S,A1Y7N490JGD06U,"Bill in NC ""ncbill""",7,42,1,1187049600,"High calorie, high fat, low taste","Beware, these small bars have nearly as many calories and fat as a candy bar.<br /><br />Taste of the chocolate coconut chew variety is best described as bittersweet cocoa mixed with lard."
130748,B005DKULZQ,A1GYEGLX3P2Y7P,Shala Kerrigan,1,1,5,1338768000,Gorgeous finishing salt,"I have a small collection of finishing salts that I use for different things. This one is my favorite for things like salad and desserts. It's gorgeous with large crystal shapes that are very thin, some are just flakes, but other pieces are like shallow hollow pyramids. The flavor is mild and they have a nice snap which adds a textural interest to chocolates and candies.<br /><br />For more robust flavors, I prefer stronger flavored salts like smoked or Peruvian pink salts."
514853,B001SITXH4,A3QR3P9BOAB1GZ,B. Yassin,1,3,3,1282694400,"Not a good value, but tasty","The packs are really small. I thought I was saving by buying in bulk, but it was not a lot for the money.  As usually the beef jerkey tastes great."
373969,B0048KH0VK,A26W79ZZCLZE3J,sunshinesther,0,0,1,1333497600,save $$ and snort powdered ginger instead,"I guess if you like to eat ginger this would be a good choice, the flavor is so strong and the soda is not very sweet that the combo is overwhelming.  The first drink I took I had the weird sensation of burning up in my nose and I almost gagged. Basically it is disgusting."
303679,B000E65OJW,A1I53D9CMMZ64P,Fresh 1,0,0,5,1350345600,Lara's Review,This product is amazing! It tastes and smells so good. There's barely any need for sugar. It's soothing and delicious. I would recommend this product to tea and chai lovers alike!
439208,B004IJHY4Y,A2UO22YFJVRDMG,Sandra K. Morrison,1,1,5,1233014400,The best cookies ever!,"These are simply the best cookies ever.  My kids love them, I love them.  They're so much healthier than other cookie brands.  I couldn't recommend them more!"
96780,B001ELL4F4,A2NW9WBRX748FL,Myrna Zach,0,0,5,1312588800,Coffee for Keurig,Very good coffee.  Ease of prep and taste major considerations and it really comes through.  Time relaxing enhanced by flavor.
4786,B00139TT72,A1QHTYKFV9G6ID,Robin,3,3,5,1303257600,This is the best dog food out there!!,"I have a dachshund.  I have fed her Newman's Own Senior Formula for the past few years.  I used to feed her Eukanuba, but then when there was that pet food scare with China, I started to investigate and found out that Eukanuba contained the same undesirable chicken parts as the cheaper dog foods.  I wasn't happy.  I contacted Newman's about whether the products in this food are sourced from the U.S. and I was told by one of their scientists that they are.  Recently, I moved and was unable to get Newman's locally, so I tried a couple other organic brands.  My dog didn't like them and she seemed to have a larger stool.  I decided to go back to Newman's and order from Amazon, who I can always count on to carry everything.  Now she's happy and so am I!  And, we're supporting a great cause, because Newman's doesn't compromise on quality and also supports charitable endeavors.  What more could you ask?<br /><br />One important thing to consider - if you have a senior dog, it is important to feed them the senior formula so they can digest the food easier."
18910,B003SC0Q4C,A3TOOIAW5HMQSD,Mm Mclaughlin,0,0,5,1350086400,Yummy,Excellent with gin! or not. A great bargain at the Subscribe & Save price. Haven't tried any other flavors because the ginger is sooooo gooood!
344093,B008J1HO4C,A1JFXOFDRZ9CFQ,"Marge Teilhaber ""marge201""",5,5,5,1258588800,Healthy and delicious,"I've read many places and heard Dr. Oz say that the only oatmeal that really has the health benefits is steel cut oats.  I just love this stuff.  I make a large amount and eat it cold all week.  I use 8 cups of water, 1/2 cup non-fat dry milk, mix it, bring to a boil, and then dump in 2 cups of the oats.  Stand by the pot and keep stirring so it doesn't overflow the pot or stick to the bottom.  I love the flavor and the sort of crunch.  It would also be good with dried cranberries and some walnuts or slivered almonds.  It's a few pennies cheaper at Trader Joe but they don't always have it.  I've been eating it every day and thoroughly love it.<br /><br />EDITED TO GIVE A GREAT AND EASY WAY TO COOK STEEL-CUT OATS:<br />After a few batches, I have perfected this stovetop technique for steel-cut oats:<br />1. boil 4 cups of water in a pot on the stove<br />  (optional:  1/2 cup non-fat dry milk to up the calcium)<br />2. add 1 1/2 cups of steel-cut oats<br />3. bring to rolling boil again<br />4. cover tightly and let it keep boiling for a few seconds<br />5. turn off flame and forget about it.<br /><br />It doesn't take too long, under 1/2 hour I think but not sure, and the water is totally absorbed and you have the perfect combination of creamy/chewy steel-cut oats.<br /><br />You get enough for quite a few servings; not sure how many. 10 maybe??<br /><br />Nothing stuck to the bottom of the pot. What a delight.<br /><br />Much better than standing over the pot and stirring and much better than cooking in a slow cooker.<br /><br />(Learned this on egullet!)"
553025,B0018QBX6K,A3P3111SZI5G92,P. Larrissey,1,1,2,1332115200,Weak tea,"I was looking for the tea served in Chinese restaurants, this is not it.  Tea is weak and I don't care for the taste."
147648,B001D0IZBM,A1SMJTJYKVOSC6,YorkieMom,0,0,5,1295308800,Emerils BIG BOLD coffee for K-Cup owners,For those who like the BIG BOLD taste of coffee there is nothing better than Emerils for K-Cup users! And Amazon makes it so easy with their great deals!  Buy some today!  You won't regret it!
292789,B002HMZ87O,A1OK3Q6INCIKZL,Linda Mcclure,1,1,5,1338336000,Excellent flavor,"The producer of this item is a customer where I work.  He brought in a case to share with the staff.  I cannot get enough.  I use it in my tuna and egg salads and on any deli meat sandwich for a totally different taste.  A little hot, as is mustard, but a touch of sweetness.  OMG!"
325420,B001LULT2Q,AWODAQOGK6Z3E,"Beanalicious ""Omnis Aetus""",2,2,5,1244505600,Yummy!,"I recently purchased this on a Gold Box deal, I was waiting for there to be an incentive before I took the plunge, but now that I have these delicious products, I realize it isn't worth waiting for a deal to pop up.  As soon as I run out of my bacon salt, I'm buying more!<br /><br />All the bacon salt varieties included in this set have their own subtle variations in flavor, my favorite being jalapeno, and without having a least favorite.  They all have a little bite to them that I attribute to black pepper, but aren't really spicy.  I'm not really sure if they truly taste like bacon, I have heard that the bacon flavor needs fat present to manifest itself.  I do know however, that it is so good, Ill just sprinkle some on my palm and lick it off.  Gross?  Maybe, but I bet you would lick my palm too :P<br /><br />I have never been a huge fan of either Mayo or Miracle Whip, but after trying the Baconnaise, I think my hierarchy is Baconnaise > Mayonnaise > Miracle Whip.  I can only imagine making some delicious baconized fry sauce! (typically mayo and ketchup mixed together, try it and be blown away.  Its almost a religion down here)<br /><br />If you have been waiting to buy this stuff but haven't quite been convinced, just take my word for it and buy.  If you don't like it, just send it my way!  That probably won't happen though, unfortunately for me."
460128,B005BRHVD6,ASSIED0AK0OXJ,kmada994,1,2,5,1335312000,What I expected,"I got the gels on time, the box was a little dented, but not a big deal. I got them within the time I was told. Happy customer."
8751,B000LKZ84C,APGQCBO10LZTH,LZ,1,1,5,1337212800,Good product,I use this in place of mayo for many recipes when I need something creamy and quick.  This also works very nice for sweet dishes as there is very little taste to the tofu and it does absorb flavors well like a chocolate pie.
1717,B001RVFDOO,A1CUZ6E7VSS4F9,Janae,0,0,5,1283126400,My kids and I ate these up!!,"This was our first time trying Popchips, but I had heard so many good things about them so I was eager to try them.  We ordered the variety pack to try a few flavors.  My kids gobbled all of them easily but their favorite was the salt and vinegar.  My favorite by far is the BBQ flavor.  We love popchips here!!!"
107385,B005DFL4PM,AEC90GPFKLAAW,Lisa Kearns,1,1,5,1325808000,"Low fat, low sodium, great for baking or smoothies","I've used regular powdered peanut butter for baking in the past (not PB2 brand) and really liked it.  It stores well long-term without going rancid like the oils in regular peanut butter do.  It also adds a great peanuty flavor to cookies, cakes and pies.<br /><br />I was happy to find this chocolate flavor available here on Amazon.  It's a little expensive at $10.99 per pound, but with free SuperSaver shipping for orders over $25 I decided to try it.  And since most recipes would use 2-4 tablespoons of powder, a pound will last at least as long as a big jar of regular peanut butter.<br /><br />When my order arrived I was very happy to see that it is vacuum sealed in a thick mylar bag.  This keeps it fresh and dry for several years, if unopened.  I opened mine and followed the directions - 2 TBL powder, 1 TBL water, and mixed well.  It became a nice paste with a slightly grainy texture and delicious chocolate peanut flavor.  It was reminiscent of coffee, and not overly sweet.  It wouldn't be fair to compare it to full fat, mechanically mixed peanut butter, but I thought it was really tasty.<br /><br />The best thing about this product is the reduced fat and calories.  I compared labels from regular peanut butter and PB2 chocolate powdered peanut butter and these were the comparisons (regular PB on the left, PB2 on the right):<br /><br />Fat: 16 gm / 1 gm<br />Calories: 190 / 45<br />Carbs: 7 gm / 6 gm<br />Sodium: 150 mg / 70 mg<br />Protein: 7 gm / 4 gm<br /><br />I'm very pleased with this product and will definitely buy it again!"
3791,B001L1DYAA,A1TULMI41HYT5O,Just G,2,2,5,1311120000,best coffee,"The Gevalia Breakfast Blend is perhaps the best coffee I have ever purchased.  It is full-bodied, without being bitter.  It also is much cheaper to purchase through Amazon - with Free shipping for prime members.  Cant' beat it."
52118,B004ADXW8A,AG4LBEYRCWT9S,RumPunch,0,0,5,1349136000,Love it!,"I had two cans at once.  I love these.  Nicely smoked, plump, great tasting, and perfect with Crackers. I recommend that you add these to your pantry for those quick fixes or just to satisfy a craving."
222003,B003UEMK1U,AU6ZBIOLK7NDY,xyqxyq,3,3,5,1326067200,"The only ""flavored"" black tea I drink","I'm a bit of a purist with both black tea and coffee. I don't add anything to either beverage. I deny the existence of flavored coffee, and once denied the existence of flavored black tea. I'm not one who is swayed easily, but I was basically forced to just try this once. This tea is so good that it became my one exception.<br /><br />The lemon flavor pairs absolutely perfectly with the flavor of strong black tea. The lemon flavor comes on subtly, and ends pleasantly strong. There is no overwhelming sweetness or sourness. If you smell the tea before brewing, you'll probably note that you can barely, if at all, detect the lemon. When you introduce very hot water, the lemon comes alive and puts a nice, subtle, natural, lemon scent in the air.<br /><br />Anyway, I opened up a little after tasting this, and have now also tried Orange Bliss by Twinings. Nothing wrong with it, but I don't think the orange flavor agrees with black tea quite as well. I'll stick to only non-flavored black tea with Lemon Twist as the one exception.<br /><br />I will drink this tea at any time of the day.<br /><br />TL, DR: I used to be a total tea purist. This is my one exception now. Black tea and lemon go together amazingly well."
461113,B0045PCB6C,A11J8QT699V0ZR,J. Corbitt,0,0,5,1304035200,Love it!,My husband and I both love this coffee. We now enjoy a cup of decaf almost every evening. I would definitely recommend it.
452415,B00112XJUY,A3VKBFC5K2INR4,"J. Kruger ""veganmania""",1,1,5,1328659200,AMAZING SOYMILK,"When I first starting buying soymilk this was my go to brand. Once I moved out of the New York area I could not find this anywhere. On a whim I decided to check if Amazon sold it, since I buy tons of things on this website, and wouldn't you believe it they sell single servings in cappuccino, vanilla and chocolate. I bought the vanilla and cappuccino. They are amazing. Creamy, sweet but not too sweet and reasonably priced. I bough these when they were in the warehouse deals and go them super cheap. I would still buy them via subscribe and save. I would recommend these to anyone."
205671,B00122ANTS,A29IRUDSWT0CXG,"Lonnie Appleby ""Belfast Bailey""",1,1,5,1222041600,BOOYAH!!!,"WONDERFUL!  Makes absolutely wonderful jambalaya...and one of these nights I am going to end up sprinkling some on my popcorn, but am saving it for just the right film.  Excellent stuff, and if you want to feel like you're closer to New Orleans, I would recommend this VERY STRONGLY!  GOOD STUFF!"
386804,B000PGQQFC,A37BVH6YD86RV4,G. Miller,13,13,4,1311465600,"Good tea, but better in the satchel","I first had this tea in the satchel.  It is fantastic that way.  When I finished my firs tin I saw that it came in bags and a box as an option as well.  I ordered the fifty pack.  The bags are good and very convenient when I travel, but no match for the satchels in flavor.  If you like a touch of cinnamon, the bags are fine.  If you want a more robust taste, I recommend the satchel."
264019,B004EAGP74,ASEDE7XOQ9FYS,Mig,2,2,5,1202860800,Excellent value and product. Love it!,I used this for the first time as a night cream since my skin was dry from the weather here in Los Angeles. I woke up and noticed my face looking refreshed and hydrated without any of the breakouts that other products leave behind. It's like it actually went beyond the surface of my skin!
471900,B009B0VBR6,A1PK3XMIOQCE1S,lois moyer,1,1,5,1301184000,Great product with fast delivery,This is a really good coffee. I think this taste much better than Gevalia and at a fraction of the price. The auto delivery is the way to go because you save even more with this method.
287931,B00498JYLU,A1APZA6WOY8J8,OKKathy,0,0,5,1330473600,Strike!,"Ordered these for a bowling party & they are very cute. The party is this weekend, so I am really excited! I have no idea how they taste, but they look GREAT! :-)"
137515,B001E530J8,A1BCIM5R3X0646,blossumg,3,3,4,1289347200,great taste!,"This is a product I have tried before and always have come back to.  Great aroma,flavor, and value!  Wikll buy again and again."
48278,B004SRH2B6,A2YKLEW942F1UB,Camrea,1,1,5,1338249600,"Price jump on-line... can't find in stores,... what happened???","I love this drink! Tastes just like Yoohoo. Sadly, I saw the price jump and figured I should just buy it at my local Whole Foods...until I realized I can't find it there anymore either!! I don't know if it's being discontinued or what happened but I hope to find it again soon (and not for almost $60 a box)."
81512,B001EQ4RBM,A2DPCHKF3M6BF2,jax,0,0,5,1214611200,good stuff,these are the best flavor - very nice lime/chile taste goes great with the almonds. i agree with ms.cox!
288889,B001BOXBAA,A37IL03PPA9SLW,S. Lamarsky,2,2,5,1300838400,Just what my dogs needed!,"I was feeding both of my dogs 1st- Costco Brand food.  Next moved to IAMS.  My dogs had so much gas it was CRAZY!  Wellness CORE stopped the gas completely.  Their energy levels have risen too. One of my dogs was always scratching, she had stinky breath, was really gassy- she has a more sensitive system then the other dog. This dog food fixed everything.  I can hardly believe it. I will always buy my sweet dogs Wellness CORE from now on!"
504817,B000H241DS,A2ORQKJRBS9N8U,Rodney G Pannell,0,0,4,1325289600,Fun little kit,"I received this kit for christmas and we just made the sushi tonight and it was fun kit to make simple sushi.  The book could be better, had a watch a few videos on the net to see how to do actually roll the sushi.  You need access to a good asia market to get some of the ingredients, but one you get the correct ingredients you will have some fun making sushi!"
140063,B000FA3912,A13E0ARAXI6KJW,Ed Uyeshima,0,0,4,1204502400,"Chocolate Wafers in an Identity Crisis as Oreos...But If Deception Helps Monitor Calories, Why Not?","I hate to admit I miss the lard. I was the one in your 4th-grade class who unscrewed the Oreo, ate all the white middle, licked the wafers clean and then ate the hardened chocolate wafers. That's the image I have of this cookie. Even Barbra Streisand coyly named her singing trio at the beginning of <a href=""http://www.amazon.com/gp/product/B000AYEL1A"">A Star Is Born</a> the Oreos because she had two back-up singers who were black. That's why the idea of an Oreo Thin Crisp is rather lost on me.<br /><br />It is a single, nickel-sized baked chocolate wafer that more resembles a bleached Wheat Thin than the original Oreo. It does have some dusting of a white fructose sprinkle as perhaps a nostalgic tribute. Don't get me wrong, as the Oreo Thin Crisps are perfectly fine as low-calorie chocolate wafer alternatives go. They simply lack the lip-smacking satisfaction of a disassembled Oreo digested in pieces. The whole point of the 0.81-ounce bag of wafers is to tout that they are ""100 Calorie Packs"", a fine idea for Weight Watchers advocates and the rest of us who should be watching our weight. It's just that I don't feel very satisfied after finishing just one pack."
418904,B001EO65DM,A1DBF19L6Y5AKO,RobinA,0,0,5,1301270400,Love Half Caf!,Our 2nd fave Kcup coffee (Nantucket came in 1st).  Half Caff is smooth and great for that 2nd cup of coffee in the morning. :)
121912,B003X0TQQS,A30B1KYZ314BR5,Annie S,0,2,1,1325808000,Not as great as I expected...,"The price was great on this product and I'd had the peanut butter flavor many times and even gotten my little picky autistic kid to eat it and it is great, but this one, the shredded oats, is rather bland and sorta hard...not puffy as I had expected. I'm sure it is really healthy...but don't expect the kids to luv it...I wasn't crazy about it either."
227505,B004BUU488,A4WBHCB54WZ82,Mary Hamilton,7,8,5,1301961600,Filling!,"This product is a lifesaver for us! We are on a strict form of the HCG diet and added these noodles to our maintenance phase. We missed pasta and it is a great alternative. I added meat and tomato sauce and found it very filling! I recommend these to others on the diet, or those who have gluten allergies. Remember to rinse, boil one minute and pat dry before using. You will notice a fishy smell when you open the package, but it goes away when you prepare them. Thank you for a great product...I just ordered the variety package and will make some more recipes with seafood and veggies!"
163929,B000QSORUU,A3P65885BG6YAW,Judy,11,13,4,1247270400,Good for vacation rentals,I brought this on a beach trip where we rented a house.  It was so useful to have for cooking our own meals- I plan to bring it everytime we go camping or rent a house on vacation.
348479,B001BM3C4M,A1LZJZIHUPLDV4,"vegancompassion ""anattanupassana""",1,1,5,1255305600,Vegan Natural [Organic Corn] Kosher Choice,"Vegan. Natural. Kosher Parve. Made with organic yellow corn; canola, safflower, or sunflower oils [all organic and/or conventional]; and sea salt. Great choice for those who like corn chips like Fr*tos. Great with bean burritos, enchiladas, soups, and even as a crunchy salad topping. Like most chips, highly caloric. 170 calories per 1oz/28g serving. Use as a garnish, repackage in smaller snack bag sizes, or eat in moderation. This review is out there for those for whom this makes a difference. See all of my reviews and the vegancompassion Profile for more great choices. Check out ""Vegan Grocery Favorites"" and ""Vegan Grocery Top Ten"" & all the other helpful ""Vegan Grocery"" Listmania. Your input counts and will be greatly appreciated to benefit the search of others. Thank you."
510019,B001EPPBE0,A2RXM6G6MD7QJ5,nancyinabq,0,0,5,1330819200,How do they do it?,"I just want to know - How do they make these cute little tubes?  This will be an essential pasta for my pantry now.  First dish out of the box, I made Rachel Ray's Big Fat Spicy Sate Noodles over which I served Orange Scallion Sesame chicken. I was so pleased with the result. Her recipe called for this particular Italian perciatelli pasta which seemed strange since I was making an Asian spiced dish. But whatever. It was absolutely delicious. The bite of the noodle was chubby and somewhat chewy, not like al dente. but just perfectly chewy and dense. I highly recommend this product. I imagine this pasta noodle will be a good canvas for chunky Italian tomato sauces also."
310090,B008EM51FA,A2GJHSUM10ZD03,Good Health,2,2,5,1312416000,Instant Ginger and Honey Tea,"I've been looking for a ginger tea that actually has the spicy taste of ginger, and I found it with this tea.  I don't have a ""sweet tooth"" per say, so I generally don't like a lot of sugar in things that I drink or eat.  Although this ginger tea is sweeten with honey and cane sugar, it's not too sweet for me to enjoy."
355527,B002QWP8H0,A2ZNIKXT764IV4,"Sue ""suezieqt""",1,1,5,1262131200,Expensive treats but my dogs LOVE them!,"I have two Airedales.  They aren't fussy eaters - or snackers - but each gets a Greenie at bedtime.  We let them out in the yard for a bit before they go to bed and all I have to do is say ""Time for your Greenies!"" to make them race for the house and dance around until they get that bedtime snack.  It's their special treat and I love the fact that they actually have to chew them moderately slowly instead of just inhaling them!  The only drawback is that they're expensive."
362282,B001BLX9C8,AG7OFIUYSZVPJ,"BB ""BonniBling""",0,0,5,1317427200,WOW!!!,"While I could do without the hot pepper element, it's still an awesome sauce worthy of five (or more!) stars."
373468,B0017OCH22,A2ZI9EWWZTNUA2,jalcruces,3,4,5,1244160000,tasty,"Eden foods puts out the best tasting pumpkin seeds. These are shelled (shell removed). These Spicy ones don't have much more flavor than the regular ones, but enough to make them worth getting instead of the regulars. They are not hot at all. Oh,... and the best thing about these.... They are MSG free!"
413234,B003M1KSEW,ALOU06NKO7U3C,AngelaAmazon,5,6,5,1286582400,Zebra Bowtie Pasta,"Purchased this pasta online after seeing it in a gift shop at a winery in Napa.  I was throwing a wedding shower for friend's of mine and knew this would be the perfect pasta since the bride's colors were black, white, and red.  I cooked the pasta according to the directions on the package and it turned out fantastic!  All of my guests were impressed (with the taste and look of the pasta) and a homemade red sauce made the dish perfect!!  Amazon was the only place I could find this type of pasta - thank you Amazon.com!!!"
239570,B001E6K6B2,A261M92PGUTO1K,c rusti,0,0,4,1308009600,Our favorite cereal,"When Costco stopped carrying our favorite, we had to find another source that was reasonably priced.  This product fit the bill."
